annual_inc,home_ownership,int_rate
44480,MORTGAGE,.1333
185000,MORTGAGE,.1333
107500,RENT,.0818
85000,RENT,.1153
72000,MORTGAGE,.0689
45000,RENT,.1699
172000,MORTGAGE,.1399
143500,MORTGAGE,.0818
52000,MORTGAGE,.1757
65000,MORTGAGE,.0999
50835,MORTGAGE,.1699
38000,OWN,.1919
49000,RENT,.1229
54000,MORTGAGE,.1465
91978,MORTGAGE,.1099
105000,MORTGAGE,.2849
48800,RENT,.1333
103830,MORTGAGE,.1269
110000,MORTGAGE,.1561
102000,OWN,.1919
92000,MORTGAGE,.0917
45650,MORTGAGE,.0689
131000,MORTGAGE,.0789
55000,MORTGAGE,.1699
27000,RENT,.1399
22000,RENT,.1269
79000,OWN,.1153
34000,RENT,.0917
42000,OWN,.1153
38000,MORTGAGE,.1655
35000,RENT,.1919
68000,RENT,.0999
105000,MORTGAGE,.1153
82000,OWN,.0818
66500,RENT,.1269
80000,RENT,.0999
27000,OWN,.1333
73000,MORTGAGE,.1465
84000,MORTGAGE,.0726
93300,RENT,.1919
110000,MORTGAGE,.0999
47600,RENT,.1786
85000,MORTGAGE,.0818
67150,MORTGAGE,.0532
103000,MORTGAGE,.1333
350000,MORTGAGE,.1099
124800,OWN,.1269
48000,RENT,.1561
51500,OWN,.0532
84000,RENT,.0726
42000,RENT,.1153
64000,MORTGAGE,.0789
41000,MORTGAGE,.1269
24000,RENT,.0917
59000,MORTGAGE,.1786
61455,RENT,.1465
57000,MORTGAGE,.0532
130000,RENT,.0818
63000,RENT,.0726
75000,MORTGAGE,.0999
85000,RENT,.1269
58000,RENT,.1099
54000,RENT,.2299
115000,MORTGAGE,.1229
150000,OWN,.0789
54000,MORTGAGE,.0624
55000,RENT,.0689
33500,RENT,.1269
90000,MORTGAGE,.1333
455000,MORTGAGE,.0624
50000,RENT,.0818
45000,MORTGAGE,.1269
40000,RENT,.1333
130000,MORTGAGE,.0789
53000,MORTGAGE,.1153
41600,MORTGAGE,.1153
124000,MORTGAGE,.0999
45000,MORTGAGE,.0789
35000,RENT,.1655
39000,MORTGAGE,.1099
150000,RENT,.0726
85000,OWN,.1269
55000,MORTGAGE,.0999
52000,MORTGAGE,.0624
36199,RENT,.1561
75000,RENT,.0818
205000,MORTGAGE,.1229
77000,MORTGAGE,.0726
65000,RENT,.1333
50000,MORTGAGE,.1229
62000,RENT,.1333
95000,MORTGAGE,.0726
70000,RENT,.1561
60000,MORTGAGE,.0624
65000,MORTGAGE,.1399
50000,RENT,.1655
61000,RENT,.2099
38600,RENT,.1229
54000,MORTGAGE,.2099
66000,MORTGAGE,.0818
75000,RENT,.0789
60000,RENT,.1153
36700,MORTGAGE,.1465
100000,RENT,.0818
50000,OWN,.1399
140000,MORTGAGE,.0532
35000,RENT,.1465
55000,OWN,.1757
108000,MORTGAGE,.1099
94000,RENT,.1655
27648,RENT,.1153
110000,RENT,.0999
70400,MORTGAGE,.1099
62000,RENT,.1229
105000,RENT,.0818
45000,RENT,.1786
48000,MORTGAGE,.1999
78300,MORTGAGE,.1699
80000,RENT,.1229
115000,MORTGAGE,.0624
65000,MORTGAGE,.0999
85000,RENT,.1855
36000,OWN,.1757
80000,MORTGAGE,.1561
66000,RENT,.1699
84000,RENT,.1655
160000,RENT,.0689
25000,OWN,.1229
92500,MORTGAGE,.1153
90000,MORTGAGE,.1153
67000,RENT,.1465
49000,RENT,.1655
55000,RENT,.1333
86000,MORTGAGE,.1269
60000,MORTGAGE,.0624
40000,MORTGAGE,.1099
23000,OWN,.1855
55000,RENT,.1465
130000,OWN,.1786
150000,MORTGAGE,.1757
64000,RENT,.0917
58000,MORTGAGE,.1099
132646,MORTGAGE,.1825
75000,MORTGAGE,.1269
120000,RENT,.2199
70000,RENT,.1655
110000,MORTGAGE,.0532
58000,MORTGAGE,.0999
68000,RENT,.1229
64000,RENT,.0999
80000,MORTGAGE,.1399
33500,RENT,.1229
67085.28,MORTGAGE,.1855
40000,RENT,.1465
65000,MORTGAGE,.1825
78000,MORTGAGE,.0789
86000,MORTGAGE,.1561
65000,MORTGAGE,.0818
65000,RENT,.1655
55000,RENT,.1229
41468,MORTGAGE,.1399
48000,OWN,.1655
61000,RENT,.1561
70000,MORTGAGE,.1465
35000,MORTGAGE,.0917
20000,RENT,.1269
96000,RENT,.1269
62000,MORTGAGE,.0999
95000,MORTGAGE,.0726
65000,OWN,.1825
31000,RENT,.1655
65000,RENT,.1655
90000,RENT,.1153
28800,OWN,.0999
55000,RENT,.0818
52000,RENT,.0532
112000,MORTGAGE,.0532
36672.11,RENT,.1757
24000,MORTGAGE,.1333
50000,MORTGAGE,.1786
50000,RENT,.1099
78000,MORTGAGE,.2399
62400,RENT,.0726
30000,RENT,.0818
156000,MORTGAGE,.0532
49000,OWN,.1269
60000,RENT,.0624
500000,MORTGAGE,.1825
89000,MORTGAGE,.0999
26244,RENT,.0818
52933,MORTGAGE,.1153
350000,MORTGAGE,.2399
77000,MORTGAGE,.1465
36000,RENT,.1229
63000,MORTGAGE,.0818
75000,MORTGAGE,.1855
33000,OWN,.1269
36243.92,MORTGAGE,.1269
60000,MORTGAGE,.0818
90000,MORTGAGE,.1229
53278,RENT,.0999
55000,RENT,.1655
158000,RENT,.0726
120000,MORTGAGE,.1269
46000,MORTGAGE,.0726
50000,RENT,.1153
39000,MORTGAGE,.1999
125000,RENT,.1153
146000,MORTGAGE,.0689
40000,RENT,.0789
49000,MORTGAGE,.0818
92000,RENT,.1269
100000,RENT,.1465
150000,RENT,.0532
112000,MORTGAGE,.0818
115000,MORTGAGE,.1099
50294,MORTGAGE,.1561
35000,RENT,.1229
62000,MORTGAGE,.0818
35000,RENT,.1561
42786,RENT,.1786
110000,MORTGAGE,.0818
80000,MORTGAGE,.0532
220000,MORTGAGE,.1333
92560,OWN,.1399
85000,RENT,.1099
24000,RENT,.0999
56000,RENT,.1399
70000,RENT,.0999
32000,MORTGAGE,.1269
45000,RENT,.0726
95000,MORTGAGE,.0818
95000,MORTGAGE,.1655
30000,MORTGAGE,.1757
155000,MORTGAGE,.1099
72000,MORTGAGE,.1561
107000,MORTGAGE,.0818
95000,MORTGAGE,.0532
75000,RENT,.0789
120000,RENT,.1333
50000,RENT,.1699
80000,MORTGAGE,.0999
57000,OWN,.0532
80000,MORTGAGE,.0818
88880,MORTGAGE,.0726
85000,MORTGAGE,.0917
50000,RENT,.1825
126000,MORTGAGE,.1855
90000,MORTGAGE,.1229
25500,RENT,.0624
22800,OWN,.1465
56000,RENT,.1229
85000,OWN,.0624
46000,RENT,.0789
142000,OWN,.1153
70544.07,RENT,.1825
100000,MORTGAGE,.0818
30000,MORTGAGE,.1855
85000,MORTGAGE,.1655
140000,RENT,.0624
90000,MORTGAGE,.0726
76000,RENT,.0689
62000,MORTGAGE,.1153
17500,RENT,.0624
90000,RENT,.1269
120000,MORTGAGE,.0818
73500,MORTGAGE,.1399
40573,RENT,.1333
70000,MORTGAGE,.1099
72000,MORTGAGE,.0789
63000,MORTGAGE,.1399
65000,RENT,.1655
46000,RENT,.0532
78000,MORTGAGE,.0789
45000,RENT,.1153
31555,RENT,.0917
64000,MORTGAGE,.0689
48000,MORTGAGE,.0818
66855,MORTGAGE,.0818
60000,MORTGAGE,.1757
72000,RENT,.1399
95000,RENT,.0917
45000,RENT,.0818
40250,RENT,.1153
105000,MORTGAGE,.0789
98758,MORTGAGE,.0999
100000,MORTGAGE,.0789
28000,RENT,.1699
100000,MORTGAGE,.0689
77000,RENT,.0689
125000,MORTGAGE,.1825
108226,MORTGAGE,.0818
123000,MORTGAGE,.1655
25000,RENT,.1465
70724,MORTGAGE,.1269
35000,RENT,.1333
260000,OWN,.0624
128000,MORTGAGE,.1786
71000,RENT,.1399
110000,MORTGAGE,.0818
65000,MORTGAGE,.1333
50000,OWN,.2578
100000,MORTGAGE,.0789
23000,RENT,.1655
38948,MORTGAGE,.1333
130000,RENT,.0818
63038,MORTGAGE,.0726
36000,RENT,.1825
115000,MORTGAGE,.0818
50000,MORTGAGE,.1855
35000,RENT,.0999
39000,MORTGAGE,.0818
95016,MORTGAGE,.1825
80000,MORTGAGE,.1153
83000,MORTGAGE,.0726
53949,MORTGAGE,.0818
40000,MORTGAGE,.0818
44720,MORTGAGE,.0789
165000,OWN,.1153
36878.4,RENT,.1465
55000,RENT,.1561
65000,RENT,.0917
65000,RENT,.1655
43000,RENT,.0999
62000,MORTGAGE,.0789
72000,MORTGAGE,.0532
65000,MORTGAGE,.1465
70000,MORTGAGE,.1919
55000,RENT,.1561
97100,MORTGAGE,.0999
40000,OWN,.0689
60000,RENT,.1269
75000,MORTGAGE,.1333
49000,MORTGAGE,.0818
35000,RENT,.0789
63000,OWN,.1229
46500,RENT,.0818
55000,RENT,.1399
80000,RENT,.0818
130000,MORTGAGE,.1153
58000,RENT,.1561
35859,OWN,.1153
82000,MORTGAGE,.0818
83500,MORTGAGE,.1465
46000,MORTGAGE,.0689
105000,MORTGAGE,.0818
42240,MORTGAGE,.1099
46000,RENT,.1153
38000,MORTGAGE,.0818
67000,MORTGAGE,.0999
61000,MORTGAGE,.1465
65000,RENT,.1269
99100,RENT,.0917
50000,MORTGAGE,.1399
101000,MORTGAGE,.1399
90000,MORTGAGE,.1333
110000,MORTGAGE,.1786
80000,MORTGAGE,.0999
40000,MORTGAGE,.1399
45000,MORTGAGE,.2199
54000,RENT,.1099
45500,MORTGAGE,.1399
90887,RENT,.1153
145000,MORTGAGE,.1153
82000,MORTGAGE,.1229
52000,MORTGAGE,.0818
53000,RENT,.1465
48672,RENT,.1399
55000,RENT,.1333
98000,MORTGAGE,.0689
129000,RENT,.0917
102000,MORTGAGE,.0689
22000,RENT,.1269
13000,RENT,.0999
93000,OWN,.1269
55000,RENT,.1919
60000,MORTGAGE,.1099
125213,MORTGAGE,.0532
191200,MORTGAGE,.0624
100000,MORTGAGE,.0999
96000,MORTGAGE,.1099
40000,RENT,.1465
71000,RENT,.1757
120000,MORTGAGE,.1561
67700,RENT,.1229
45000,MORTGAGE,.1229
72000,RENT,.1333
115000,RENT,.1333
74000,OWN,.0999
72000,OWN,.0532
35000,RENT,.1099
40000,RENT,.0624
40000,RENT,.1153
200000,MORTGAGE,.1153
40000,MORTGAGE,.1655
48764,MORTGAGE,.1269
80000,MORTGAGE,.1786
80000,RENT,.1699
50000,RENT,.1399
54600,MORTGAGE,.1269
52000,RENT,.1229
84000,MORTGAGE,.1561
190000,MORTGAGE,.0917
220000,RENT,.0917
116421,RENT,.1757
58000,MORTGAGE,.0789
94000,MORTGAGE,.1786
70808,RENT,.1786
94000,MORTGAGE,.1333
38000,MORTGAGE,.0818
40000,RENT,.0624
58250,MORTGAGE,.1269
142000,RENT,.1561
86000,MORTGAGE,.1333
75000,RENT,.1269
49000,MORTGAGE,.1099
56000,RENT,.0999
62000,RENT,.1269
80000,MORTGAGE,.0818
61193,MORTGAGE,.0726
130000,RENT,.0726
126000,MORTGAGE,.1399
108000,MORTGAGE,.0917
42000,MORTGAGE,.1699
82000,RENT,.1229
35000,OWN,.1333
58000,MORTGAGE,.0917
38000,RENT,.0789
49850,MORTGAGE,.1699
56600,MORTGAGE,.1153
99600,MORTGAGE,.0532
78000,MORTGAGE,.1269
45000,RENT,.1825
38884,RENT,.2299
80000,RENT,.1786
90000,MORTGAGE,.0689
85000,MORTGAGE,.1919
63000,MORTGAGE,.1269
54000,OWN,.1099
28000,RENT,.1333
80400,MORTGAGE,.0532
125000,MORTGAGE,.1333
75000,MORTGAGE,.0917
190000,MORTGAGE,.1333
65000,MORTGAGE,.1825
100000,RENT,.1229
32000,MORTGAGE,.0624
105000,MORTGAGE,.0917
102000,MORTGAGE,.1099
95000,MORTGAGE,.0789
300000,MORTGAGE,.1999
38000,MORTGAGE,.1099
87000,MORTGAGE,.0532
87000,MORTGAGE,.1153
92000,MORTGAGE,.1153
48000,RENT,.0999
75000,RENT,.0999
64500,MORTGAGE,.1153
19000,MORTGAGE,.1333
60000,RENT,.0624
56100,MORTGAGE,.1699
90696,MORTGAGE,.1655
30000,RENT,.1825
65000,RENT,.1399
36000,RENT,.2731
48000,MORTGAGE,.1655
45000,RENT,.0818
40000,MORTGAGE,.1269
57200,OWN,.1825
36000,RENT,.1399
70000,MORTGAGE,.0726
170000,RENT,.1153
32000,OWN,.1465
34221.43,MORTGAGE,.1786
170000,MORTGAGE,.1757
75000,MORTGAGE,.0917
84317,RENT,.1229
125000,MORTGAGE,.0917
90000,RENT,.0532
52000,RENT,.0818
54000,RENT,.1757
60000,RENT,.1399
68663,RENT,.2099
40000,MORTGAGE,.1919
71000,MORTGAGE,.1855
60000,MORTGAGE,.1399
60000,MORTGAGE,.1855
70000,RENT,.1399
94000,MORTGAGE,.0999
85000,MORTGAGE,.1825
103300,RENT,.1699
35000,MORTGAGE,.1229
58000,MORTGAGE,.1099
77421,RENT,.1269
60000,OWN,.1919
18000,RENT,.0999
21000,OWN,.2399
72000,RENT,.0532
81000,RENT,.1399
165000,MORTGAGE,.1465
83000,MORTGAGE,.1561
110000,RENT,.1465
52281,MORTGAGE,.1757
30000,RENT,.1333
51000,RENT,.1269
80000,RENT,.1333
33000,RENT,.0917
70000,OWN,.1919
110000,RENT,.0818
147500,MORTGAGE,.0624
300000,MORTGAGE,.1153
115000,MORTGAGE,.1099
80000,MORTGAGE,.0789
125000,MORTGAGE,.0917
40000,MORTGAGE,.1399
52000,RENT,.1153
97000,MORTGAGE,.1229
103000,RENT,.1999
132400,MORTGAGE,.1786
100000,MORTGAGE,.0532
40000,RENT,.0532
55000,MORTGAGE,.0789
140000,OWN,.0624
52000,MORTGAGE,.0917
195000,RENT,.1655
180000,MORTGAGE,.1825
72000,MORTGAGE,.0789
43000,RENT,.1229
80777,OWN,.1399
110000,MORTGAGE,.0789
15000,RENT,.1269
75000,MORTGAGE,.1399
42900,MORTGAGE,.0999
56000,RENT,.1333
54600,RENT,.0789
93000,MORTGAGE,.0624
75000,RENT,.1561
45000,MORTGAGE,.1269
71000,MORTGAGE,.1919
35500,MORTGAGE,.0818
100000,MORTGAGE,.0999
106000,MORTGAGE,.1399
80000,MORTGAGE,.1099
78000,MORTGAGE,.0624
35000,MORTGAGE,.2677
44900,MORTGAGE,.1786
35000,RENT,.1399
53000,MORTGAGE,.0624
59000,RENT,.1399
60000,OWN,.1099
22773,RENT,.1399
75000,MORTGAGE,.0999
76000,MORTGAGE,.0624
45000,RENT,.1099
70000,RENT,.0624
72900,MORTGAGE,.0624
112000,MORTGAGE,.0624
102000,MORTGAGE,.1269
25000,RENT,.1561
30720,MORTGAGE,.0789
67000,MORTGAGE,.0999
75000,OWN,.1153
49000,RENT,.1269
75000,MORTGAGE,.2731
30000,RENT,.1153
135000,MORTGAGE,.1333
65000,MORTGAGE,.1099
100000,OWN,.1655
105000,RENT,.1229
105000,MORTGAGE,.0818
49000,MORTGAGE,.1229
43680,RENT,.0818
90000,RENT,.0917
110000,MORTGAGE,.1465
107000,MORTGAGE,.1269
52000,RENT,.1153
95000,MORTGAGE,.0624
100992.5,MORTGAGE,.1399
45000,RENT,.1399
130000,MORTGAGE,.1757
95000,RENT,.0818
93000,MORTGAGE,.0818
40000,MORTGAGE,.0624
75000,RENT,.1269
96000,RENT,.1757
100000,MORTGAGE,.0999
59700,MORTGAGE,.0818
65000,MORTGAGE,.1099
29000,RENT,.1699
57000,MORTGAGE,.1099
240000,MORTGAGE,.0917
77000,OWN,.1699
90000,MORTGAGE,.1229
180000,MORTGAGE,.0624
71216.64,RENT,.1269
89500,RENT,.1919
90000,MORTGAGE,.1333
89000,RENT,.1269
50000,RENT,.0999
48000,MORTGAGE,.1465
49000,RENT,.1333
85000,MORTGAGE,.0789
76000,RENT,.1333
105000,MORTGAGE,.0624
45000,RENT,.1229
52000,RENT,.1465
70000,MORTGAGE,.1153
70000,OWN,.0917
45000,MORTGAGE,.0818
120000,RENT,.1229
65000,MORTGAGE,.2199
85000,MORTGAGE,.1269
120000,MORTGAGE,.1333
37440,RENT,.0917
148000,MORTGAGE,.1399
30000,RENT,.0999
31000,OWN,.1699
40000,MORTGAGE,.1269
535000,MORTGAGE,.0789
62500,RENT,.0726
49000,MORTGAGE,.2677
64364,RENT,.0789
44564,RENT,.1153
30000,RENT,.0789
68000,RENT,.0818
75000,RENT,.1699
184000,MORTGAGE,.1655
33600,RENT,.1269
240000,OWN,.0624
99807,MORTGAGE,.1153
46404.8,RENT,.1825
84600,RENT,.1153
73000,MORTGAGE,.1465
24000,RENT,.1229
60000,MORTGAGE,.1153
39360,MORTGAGE,.0789
40000,RENT,.0917
85000,MORTGAGE,.1333
126000,MORTGAGE,.0726
105000,RENT,.0917
69000,RENT,.1786
55000,MORTGAGE,.1699
159000,MORTGAGE,.1333
250000,OWN,.1786
70000,RENT,.1333
33000,MORTGAGE,.1229
89500,MORTGAGE,.1655
55000,RENT,.1561
73000,RENT,.0818
75000,MORTGAGE,.1333
45000,MORTGAGE,.2199
32000,OWN,.1399
127000,MORTGAGE,.0726
105000,MORTGAGE,.1655
40000,MORTGAGE,.1229
40000,RENT,.1099
66000,MORTGAGE,.0917
76000,RENT,.0689
73200.48,MORTGAGE,.1333
130000,MORTGAGE,.0818
140000,RENT,.0818
70000,RENT,.1099
43000,MORTGAGE,.1269
80000,MORTGAGE,.1655
72500,MORTGAGE,.0818
85000,MORTGAGE,.0999
90000,MORTGAGE,.0999
80000,MORTGAGE,.1229
69700,RENT,.0999
155000,OWN,.0689
93075,MORTGAGE,.0917
41000,MORTGAGE,.1229
90000,RENT,.0818
182500,MORTGAGE,.0818
70000,RENT,.0917
70000,MORTGAGE,.1229
67286,RENT,.0917
65000,RENT,.0818
64500,MORTGAGE,.1465
41800,RENT,.1699
96000,MORTGAGE,.0917
30300,RENT,.1099
42000,MORTGAGE,.1825
53000,RENT,.1399
55000,RENT,.0999
100000,MORTGAGE,.1269
115000,MORTGAGE,.1229
50000,MORTGAGE,.1269
36000,RENT,.1153
95000,MORTGAGE,.0789
78832,MORTGAGE,.0917
150200,RENT,.1655
80000,MORTGAGE,.1333
73000,MORTGAGE,.0818
128000,OWN,.0789
30000,MORTGAGE,.1825
40000,RENT,.0999
62000,MORTGAGE,.0999
61000,RENT,.1561
50000,RENT,.0726
86000,MORTGAGE,.1229
44000,MORTGAGE,.1655
95000,MORTGAGE,.1269
110000,MORTGAGE,.1699
225000,RENT,.0726
24000,OWN,.1333
50000,RENT,.0532
40000,RENT,.1333
64000,MORTGAGE,.1919
40082,MORTGAGE,.1229
71000,MORTGAGE,.0789
102000,OWN,.1269
53000,RENT,.1825
150000,RENT,.2199
50000,RENT,.0726
16000,RENT,.1999
120000,MORTGAGE,.1561
92500,RENT,.1153
104700,MORTGAGE,.1333
65000,MORTGAGE,.0532
72000,MORTGAGE,.0917
84000,RENT,.1153
74000,MORTGAGE,.1999
110000,MORTGAGE,.1855
93000,MORTGAGE,.0624
71020,RENT,.1229
90000,OWN,.1399
93500,MORTGAGE,.0624
83000,RENT,.0726
66000,RENT,.1229
70000,MORTGAGE,.0789
140000,MORTGAGE,.1333
198000,RENT,.1699
50000,RENT,.1099
28000,RENT,.1229
107000,MORTGAGE,.0818
75000,MORTGAGE,.0726
41000,OWN,.0789
58968,RENT,.1399
40000,RENT,.1399
240000,RENT,.0999
90000,RENT,.0818
65800,RENT,.1229
39000,MORTGAGE,.0917
28000,RENT,.1699
62000,RENT,.0917
62000,MORTGAGE,.1699
90000,MORTGAGE,.1465
55000,MORTGAGE,.1099
24000,RENT,.0917
75000,MORTGAGE,.1099
217000,MORTGAGE,.1099
165000,MORTGAGE,.0999
94000,OWN,.1825
122000,RENT,.0726
50000,MORTGAGE,.0726
81400,MORTGAGE,.1399
150000,RENT,.1333
65000,RENT,.0999
59000,RENT,.0999
117000,MORTGAGE,.0689
50000,RENT,.1269
60000,RENT,.0789
33000,RENT,.0818
65000,MORTGAGE,.1999
35000,OWN,.0999
32600,RENT,.0789
72000,MORTGAGE,.0689
50000,RENT,.1333
90000,MORTGAGE,.1099
98000,MORTGAGE,.0789
70000,MORTGAGE,.1919
60000,OWN,.1786
210000,MORTGAGE,.0999
144000,MORTGAGE,.1465
100000,MORTGAGE,.0532
50150,MORTGAGE,.0689
65000,RENT,.0789
36000,RENT,.1465
40000,RENT,.0999
110000,OWN,.0999
71000,RENT,.1919
145000,MORTGAGE,.0818
28000,OWN,.1333
64000,OWN,.1229
62400,RENT,.1999
20000,RENT,.0999
80000,MORTGAGE,.0818
62000,MORTGAGE,.1269
80000,RENT,.0789
72000,MORTGAGE,.1269
34500,OWN,.1269
72000,MORTGAGE,.1333
47500,MORTGAGE,.1229
28000,RENT,.2299
33000,RENT,.0999
105000,RENT,.0818
80000,OWN,.0789
145000,RENT,.0999
53515,RENT,.1229
85000,RENT,.1655
47000,RENT,.0818
20000,OWN,.1269
120000,MORTGAGE,.0789
48000,MORTGAGE,.1561
23763,MORTGAGE,.1229
50000,RENT,.1333
31000,OWN,.1699
78000,RENT,.1465
81894,OWN,.0789
72000,RENT,.0789
38000,RENT,.1655
85000,MORTGAGE,.1919
97000,RENT,.1099
74000,RENT,.0818
85000,MORTGAGE,.0917
49500,RENT,.1786
40000,MORTGAGE,.0624
70000,MORTGAGE,.0789
11400,RENT,.1399
60000,RENT,.1153
60000,RENT,.1269
65000,OWN,.1229
38000,RENT,.0532
90000,MORTGAGE,.0532
155000,OWN,.0726
85000,OWN,.0532
100000,MORTGAGE,.0689
34000,RENT,.1229
30000,RENT,.1999
153000,RENT,.0726
60000,MORTGAGE,.0789
36000,RENT,.0726
40000,MORTGAGE,.1153
64300,RENT,.1465
50000,MORTGAGE,.0818
45000,RENT,.1655
30000,RENT,.1153
79144,MORTGAGE,.0917
52668,RENT,.0999
67000,MORTGAGE,.1399
98000,MORTGAGE,.0999
46000,MORTGAGE,.1229
41657.46,MORTGAGE,.1269
49000,RENT,.1099
55000,OWN,.1099
95000,MORTGAGE,.0532
85500,MORTGAGE,.1153
65000,RENT,.1099
59000,RENT,.1269
40000,RENT,.1399
105000,RENT,.0726
60000,MORTGAGE,.0818
51000,OWN,.1399
60400,RENT,.1229
75000,MORTGAGE,.0917
72000,MORTGAGE,.0624
70000,RENT,.1229
89100,MORTGAGE,.1399
25344,RENT,.1699
45000,RENT,.1919
48000,MORTGAGE,.1229
72000,MORTGAGE,.0789
85000,MORTGAGE,.0624
50000,RENT,.0917
62000,RENT,.1153
95000,MORTGAGE,.0999
50000,OWN,.0689
93500,MORTGAGE,.2299
114000,RENT,.1399
75000,MORTGAGE,.0532
85000,RENT,.0789
55000,MORTGAGE,.1465
176000,RENT,.1561
127000,MORTGAGE,.0532
35000,RENT,.1153
33000,RENT,.1825
45000,MORTGAGE,.0917
115000,MORTGAGE,.1786
60000,MORTGAGE,.1465
25000,RENT,.2499
23500,RENT,.1465
86000,MORTGAGE,.0532
41000,MORTGAGE,.1655
85000,OWN,.1269
32500,OWN,.0917
40000,OWN,.1561
11794,RENT,.1825
55000,MORTGAGE,.0789
86000,MORTGAGE,.1699
56650,MORTGAGE,.0789
135000,MORTGAGE,.0624
126500,MORTGAGE,.1333
65000,MORTGAGE,.1919
20000,RENT,.1786
56000,RENT,.2788
55000,RENT,.1825
54000,RENT,.2299
42000,MORTGAGE,.0689
66000,MORTGAGE,.0689
133532,RENT,.1269
180000,OWN,.0624
200000,MORTGAGE,.1229
67000,RENT,.0818
35500,RENT,.1561
52500,RENT,.1399
55000,RENT,.0917
42620,RENT,.1786
75000,MORTGAGE,.1465
109400,OWN,.0789
45000,RENT,.0624
52000,MORTGAGE,.1153
25000,OWN,.1655
50000,RENT,.0818
75000,MORTGAGE,.1855
30000,RENT,.2299
25512,MORTGAGE,.1229
50000,RENT,.1855
72000,RENT,.1153
70000,MORTGAGE,.2299
201000,MORTGAGE,.0789
72200,OWN,.2299
220000,OWN,.0789
180000,MORTGAGE,.1399
75000,RENT,.1561
70000,MORTGAGE,.1855
85000,MORTGAGE,.0689
180000,RENT,.0726
90000,MORTGAGE,.1465
50000,RENT,.0726
45500,MORTGAGE,.0689
20000,RENT,.1333
80000,MORTGAGE,.0818
99450,MORTGAGE,.1153
44700,OWN,.0532
84000,MORTGAGE,.0726
43000,MORTGAGE,.1229
74506,RENT,.1099
55000,OWN,.0726
166545,MORTGAGE,.0789
78780,MORTGAGE,.1229
196000,MORTGAGE,.0689
85000,MORTGAGE,.0726
88000,RENT,.0532
94000,MORTGAGE,.2099
25391.4,MORTGAGE,.1655
125000,MORTGAGE,.1269
28000,MORTGAGE,.1099
125000,MORTGAGE,.0789
72000,RENT,.0789
51000,MORTGAGE,.0789
95000,RENT,.0789
90000,MORTGAGE,.1757
74400,MORTGAGE,.0532
40000,OWN,.1399
85000,MORTGAGE,.1099
50000,RENT,.0999
110000,MORTGAGE,.0624
35000,MORTGAGE,.1465
55000,RENT,.1099
40000,RENT,.1655
69000,RENT,.1269
220000,RENT,.0532
53000,RENT,.1099
70000,RENT,.1229
47954,MORTGAGE,.1269
72000,MORTGAGE,.1561
63388,OWN,.1269
42000,MORTGAGE,.1333
19200,RENT,.1153
43000,MORTGAGE,.1561
46000,RENT,.1465
80000,MORTGAGE,.0726
92500,RENT,.1099
85000,MORTGAGE,.0789
48000,RENT,.0917
80000,MORTGAGE,.1757
42000,RENT,.2299
55000,RENT,.1099
91190,RENT,.1399
32000,RENT,.1333
28000,RENT,.1855
