Logit.Interest.Rate,Intercept,Amount.Requested,FICO.Score,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length
1,1,20000,660,36,debt_consolidation,27.47%,TX,MORTGAGE,7750,660-664,15,26976,0,2 years
1,1,8000,660,36,debt_consolidation,14.45%,VA,RENT,4166.67,660-664,10,9425,2,4 years
1,1,18500,660,36,credit_card,5.24%,NY,RENT,7500,660-664,8,22379,0,1 year
1,1,2000,660,36,other,11.91%,AR,RENT,3400,660-664,3,747,3,10+ years
1,1,7000,660,36,wedding,15.92%,IL,RENT,5000,660-664,11,13665,1,5 years
1,1,5000,660,36,debt_consolidation,16.06%,CT,MORTGAGE,8750,660-664,12,19598,1,2 years
1,1,6000,660,36,debt_consolidation,29.13%,WV,RENT,2752.92,660-664,12,4569,2,< 1 year
1,1,4750,660,36,small_business,3%,CO,OWN,866.67,660-664,6,740,0,n/a
1,1,30000,660,60,debt_consolidation,14.25%,WI,RENT,6928.13,660-664,6,28665,1,10+ years
1,1,15000,660,60,credit_card,16.80%,TX,MORTGAGE,5833.33,660-664,14,8587,2,3 years
1,1,1200,660,36,other,24.12%,OH,RENT,1700,660-664,2,0,3,4 years
1,1,16800,660,60,debt_consolidation,13.55%,OH,MORTGAGE,4000,660-664,12,12179,1,10+ years
1,1,3000,660,36,credit_card,22.87%,NY,RENT,2750,660-664,9,7648,3,4 years
1,1,14400,660,36,debt_consolidation,18.84%,MO,MORTGAGE,4166.67,660-664,7,10042,3,9 years
1,1,12000,660,36,other,19.89%,CA,RENT,5129,660-664,8,8923,0,5 years
1,1,16250,660,60,other,11.67%,CA,OWN,4300,660-664,10,16444,0,n/a
1,1,30000,660,36,debt_consolidation,7.25%,CA,MORTGAGE,9000,660-664,8,19430,0,9 years
1,1,24000,660,60,debt_consolidation,25.07%,OK,MORTGAGE,11666.67,660-664,21,9733,3,10+ years
1,1,30000,660,36,debt_consolidation,17.90%,IL,RENT,8791.67,660-664,13,28012,2,6 years
1,1,4200,660,60,other,28.80%,NV,RENT,3166.67,660-664,16,7728,3,1 year
1,1,11200,660,60,debt_consolidation,6.30%,NY,RENT,5583.33,660-664,12,7952,2,10+ years
1,1,12000,660,36,debt_consolidation,9.44%,CA,OWN,5746,660-664,12,9561,0,4 years
1,1,18650,660,36,debt_consolidation,20.07%,OH,MORTGAGE,4833.33,660-664,12,17740,0,10+ years
1,1,6000,660,36,debt_consolidation,6.38%,NC,MORTGAGE,6916.67,660-664,7,6309,1,6 years
1,1,10500,660,36,debt_consolidation,11.52%,GA,MORTGAGE,8750,660-664,15,9984,3,8 years
1,1,9500,660,36,other,16.01%,PA,RENT,4500,660-664,7,3673,1,3 years
1,1,4500,660,36,vacation,17.35%,NY,OWN,6000,660-664,18,5197,4,2 years
1,1,27575,660,36,debt_consolidation,19.30%,WI,RENT,5166.67,660-664,6,14935,1,10+ years
1,1,12000,660,36,debt_consolidation,28.76%,CT,RENT,5666.67,660-664,21,16822,2,3 years
1,1,18000,660,60,credit_card,17.17%,OH,MORTGAGE,5562.92,660-664,13,14866,3,7 years
1,1,5000,660,36,debt_consolidation,20.77%,VA,RENT,4583.33,660-664,19,11991,1,6 years
1,1,5000,660,36,debt_consolidation,13.28%,NJ,RENT,4833,660-664,10,9816,0,4 years
1,1,18225,660,36,debt_consolidation,24.64%,TX,MORTGAGE,5000,660-664,12,16398,2,7 years
1,1,20000,660,36,debt_consolidation,20.83%,NY,RENT,5333.33,660-664,11,11881,4,1 year
1,1,9600,660,36,debt_consolidation,14.69%,VA,MORTGAGE,5166.67,660-664,8,13041,1,10+ years
1,1,35000,660,60,debt_consolidation,8.26%,AL,MORTGAGE,10000,660-664,12,21391,2,10+ years
1,1,1600,660,36,debt_consolidation,7.80%,OR,RENT,2666.67,660-664,7,5504,2,6 years
1,1,3500,660,36,home_improvement,14.41%,GA,MORTGAGE,6833.33,660-664,7,11526,3,8 years
1,1,9250,660,60,debt_consolidation,19.27%,AK,MORTGAGE,4448,660-664,9,22704,0,10+ years
1,1,32350,660,36,debt_consolidation,20.14%,CT,OWN,6000,660-664,15,39513,1,3 years
1,1,21000,660,60,debt_consolidation,24.82%,KS,RENT,7458.33,660-664,14,11973,0,10+ years
1,1,8000,660,36,debt_consolidation,3.96%,FL,RENT,7750,660-664,9,8080,1,5 years
1,1,6000,660,36,debt_consolidation,6.26%,NJ,RENT,11833.33,660-664,21,21567,0,5 years
1,1,24000,660,60,other,12.92%,MI,RENT,9166.67,660-664,7,4324,0,10+ years
1,1,5400,660,36,medical,20.03%,GA,RENT,2666.67,660-664,9,11114,1,1 year
1,1,4800,660,36,debt_consolidation,20.44%,NM,MORTGAGE,2500,660-664,4,21514,1,n/a
1,1,5300,660,36,credit_card,24.88%,CT,RENT,2500,660-664,11,7855,2,1 year
1,1,20000,660,36,debt_consolidation,6.81%,NY,RENT,5500,660-664,11,9028,1,3 years
1,1,7750,660,36,credit_card,27.28%,TX,MORTGAGE,4208.33,660-664,14,11840,0,2 years
1,1,12000,660,60,debt_consolidation,11.73%,GA,RENT,3000,660-664,10,10828,0,4 years
1,1,35000,660,36,debt_consolidation,19.92%,FL,MORTGAGE,14166.67,660-664,12,216561,1,10+ years
1,1,5000,660,36,wedding,10.28%,CA,RENT,1916.67,660-664,8,5982,0,5 years
1,1,4200,660,36,credit_card,14.78%,AK,RENT,2083.33,660-664,7,3690,0,< 1 year
1,1,23300,660,60,debt_consolidation,33.56%,GA,MORTGAGE,13666.67,660-664,15,72774,1,9 years
1,1,10000,660,36,small_business,6.31%,TX,OWN,10000,660-664,11,28653,0,10+ years
1,1,10000,660,36,credit_card,3.01%,NY,MORTGAGE,9166.67,660-664,5,10079,1,6 years
1,1,5600,660,36,debt_consolidation,8.20%,CA,RENT,2500,660-664,6,18718,2,4 years
1,1,4800,660,60,house,14.84%,NY,RENT,4008.33,660-664,18,8828,0,8 years
1,1,3000,660,36,major_purchase,18.95%,OK,MORTGAGE,3466.67,660-664,9,4285,3,2 years
1,1,19500,660,36,debt_consolidation,26.84%,VA,MORTGAGE,5125,660-664,11,29033,0,10+ years
1,1,12000,660,36,debt_consolidation,20.07%,CA,RENT,5416.67,660-664,7,3747,0,< 1 year
1,1,6075,660,36,debt_consolidation,20.25%,NY,OWN,2666.67,660-664,15,7515,2,< 1 year
1,1,7500,660,36,debt_consolidation,19.06%,CA,RENT,3348,660-664,8,5322,0,10+ years
1,1,3000,660,36,other,28.74%,CA,MORTGAGE,7116.25,660-664,7,7416,0,10+ years
1,1,6000,660,60,vacation,14.88%,NJ,OWN,4416.67,660-664,9,28349,3,10+ years
1,1,22000,660,36,credit_card,18.02%,CA,MORTGAGE,8666.67,660-664,12,9317,2,10+ years
1,1,12250,660,36,debt_consolidation,23.80%,GA,MORTGAGE,7416.67,660-664,13,19136,1,8 years
1,1,33600,660,60,debt_consolidation,19.11%,UT,RENT,7666.67,660-664,18,12337,0,10+ years
1,1,3000,660,36,debt_consolidation,23.18%,AL,MORTGAGE,4820,660-664,23,7949,3,7 years
1,1,35000,660,60,debt_consolidation,18.95%,FL,OWN,9583.33,660-664,9,14184,1,n/a
1,1,12000,660,36,debt_consolidation,15.16%,KY,RENT,4458.33,660-664,8,13935,1,4 years
1,1,9750,660,36,debt_consolidation,11.59%,TX,OWN,2666.67,660-664,7,8172,0,3 years
1,1,3000,660,36,credit_card,16.07%,NJ,OWN,2916.67,660-664,9,6403,0,< 1 year
1,1,12000,660,36,debt_consolidation,12.77%,CA,RENT,3000,660-664,15,8480,4,6 years
1,1,17800,660,60,debt_consolidation,5.86%,NC,RENT,7000,660-664,9,6708,0,6 years
1,1,12000,660,60,car,12.11%,CA,RENT,5600,660-664,7,2409,1,3 years
1,1,20000,660,60,debt_consolidation,18.75%,VA,MORTGAGE,6266.67,660-664,25,10784,3,10+ years
1,1,6000,660,60,small_business,6.60%,FL,MORTGAGE,2500,660-664,5,5087,0,8 years
1,1,19400,660,60,credit_card,9.30%,NC,MORTGAGE,6000,660-664,5,28921,0,10+ years
1,1,5175,660,36,credit_card,22.93%,NY,RENT,1500,660-664,9,8577,1,5 years
1,1,10625,660,36,debt_consolidation,22.10%,FL,OWN,2633.33,660-664,9,12156,0,< 1 year
1,1,10000,660,36,debt_consolidation,28.91%,FL,MORTGAGE,3500,660-664,11,9059,1,7 years
1,1,12000,660,36,credit_card,28.84%,IL,RENT,3980.33,660-664,12,19234,2,5 years
1,1,7750,660,36,credit_card,9%,CA,MORTGAGE,2000,660-664,3,5399,0,5 years
1,1,1800,660,36,small_business,4.19%,AL,RENT,4246.67,660-664,2,0,0,9 years
1,1,14725,660,36,major_purchase,2.14%,VA,OWN,18333.33,660-664,11,82265,2,1 year
1,1,20000,660,60,debt_consolidation,24.30%,VT,RENT,3666.67,660-664,9,9194,1,1 year
1,1,12250,660,60,debt_consolidation,23.18%,TX,MORTGAGE,6550,660-664,15,22493,0,3 years
1,1,5000,660,36,car,22.57%,MN,MORTGAGE,6000,660-664,17,29877,2,10+ years
1,1,24000,660,36,debt_consolidation,29.46%,NH,MORTGAGE,10737.5,660-664,26,34602,2,10+ years
1,1,5000,660,36,moving,14.36%,NY,RENT,8166.67,660-664,7,7900,1,10+ years
1,1,16000,660,36,debt_consolidation,23.88%,MD,RENT,5653.67,660-664,12,16223,0,5 years
1,1,8450,660,36,small_business,21.98%,CA,OWN,2083.33,660-664,14,7352,2,3 years
1,1,14575,660,36,debt_consolidation,24.23%,OR,RENT,3833.33,660-664,13,13753,0,10+ years
1,1,3000,660,36,other,19.59%,NJ,RENT,4073,660-664,8,6941,2,5 years
1,1,7200,660,36,debt_consolidation,16.21%,MI,RENT,8333.33,660-664,8,28916,0,10+ years
1,1,15000,660,36,wedding,18.05%,CA,RENT,8000,660-664,6,45976,1,2 years
1,1,10625,665,36,debt_consolidation,12.54%,CA,MORTGAGE,4250,665-669,14,10767,0,< 1 year
1,1,22000,665,36,debt_consolidation,11.19%,TX,MORTGAGE,6666.67,665-669,9,23124,0,10+ years
1,1,6500,665,60,car,19.63%,FL,RENT,4100,665-669,11,11697,1,2 years
1,1,22250,665,60,debt_consolidation,28.87%,HI,RENT,4166.67,665-669,15,14107,0,9 years
1,1,9000,665,36,debt_consolidation,22.65%,OH,MORTGAGE,3250,665-669,9,16480,0,3 years
1,1,12000,665,36,credit_card,14.86%,NJ,OWN,4583.33,665-669,12,9145,1,10+ years
1,1,10000,665,36,wedding,30.40%,NY,OWN,2500,665-669,5,8379,0,8 years
1,1,7925,665,36,debt_consolidation,21.25%,GA,RENT,2000,665-669,6,7840,0,6 years
1,1,10375,665,36,debt_consolidation,4.99%,CT,RENT,4166.67,665-669,9,6122,1,5 years
1,1,7500,665,36,debt_consolidation,12.54%,CA,MORTGAGE,4600,665-669,3,6120,0,2 years
1,1,7000,665,36,other,32.25%,NY,RENT,3333.33,665-669,12,35604,3,7 years
1,1,15000,665,36,debt_consolidation,13.30%,TX,RENT,5000,665-669,7,11368,1,< 1 year
1,1,6000,665,36,credit_card,19.57%,KS,OWN,4583.33,665-669,13,8077,1,1 year
1,1,7000,665,36,debt_consolidation,17.08%,NJ,RENT,5000,665-669,11,13859,0,3 years
1,1,5000,665,36,debt_consolidation,34.20%,CA,RENT,3750,665-669,18,5414,3,3 years
1,1,8325,665,36,debt_consolidation,20.75%,MO,RENT,2000,665-669,7,7676,0,< 1 year
1,1,4750,665,36,debt_consolidation,24.45%,UT,RENT,1333.33,665-669,9,4752,2,< 1 year
1,1,18000,665,60,moving,14.88%,VT,RENT,4000,665-669,10,7377,3,8 years
1,1,25000,665,60,home_improvement,19.12%,TX,MORTGAGE,6000,665-669,17,12757,2,10+ years
1,1,2500,665,36,medical,20.95%,NY,RENT,2666.67,665-669,9,15787,0,n/a
1,1,3000,665,36,debt_consolidation,24.20%,IL,MORTGAGE,5000,665-669,6,5527,1,5 years
1,1,8000,665,36,debt_consolidation,15.76%,NY,RENT,3750,665-669,8,7374,1,6 years
1,1,6000,665,36,debt_consolidation,6.91%,IL,MORTGAGE,4025.67,665-669,6,6652,2,5 years
1,1,3200,665,36,other,1.37%,AR,RENT,2917,665-669,4,1427,1,< 1 year
1,1,1200,665,36,debt_consolidation,27.14%,MI,RENT,2166.67,665-669,9,9076,1,3 years
1,1,5000,665,36,debt_consolidation,16.29%,CA,RENT,3333,665-669,11,14244,2,2 years
1,1,12000,665,36,credit_card,9.86%,MA,RENT,3083.33,665-669,10,4390,0,4 years
1,1,20000,665,36,debt_consolidation,13.74%,VA,MORTGAGE,7965,665-669,18,18809,1,7 years
1,1,10000,665,36,debt_consolidation,13.09%,CA,RENT,4416.67,665-669,9,23870,1,10+ years
1,1,1000,665,36,other,19.78%,NY,RENT,884.9,665-669,4,5561,0,n/a
1,1,8875,665,36,debt_consolidation,14.90%,SC,RENT,2302,665-669,8,10008,0,n/a
1,1,5000,665,36,debt_consolidation,25.53%,NC,RENT,6612,665-669,6,14283,0,10+ years
1,1,1000,665,36,debt_consolidation,29.45%,TX,MORTGAGE,2166.67,665-669,9,1748,0,6 years
1,1,10000,665,36,credit_card,24.14%,CA,RENT,6250,665-669,9,22828,0,1 year
1,1,5600,665,36,debt_consolidation,26.35%,SC,RENT,3833.33,665-669,19,16163,0,5 years
1,1,25450,665,60,credit_card,33.75%,FL,OWN,4750,665-669,20,14435,1,10+ years
1,1,6000,665,36,credit_card,22.10%,MI,RENT,5583.33,665-669,9,36748,3,5 years
1,1,10500,665,36,credit_card,12.33%,PA,MORTGAGE,4583.33,665-669,9,18936,1,5 years
1,1,16000,665,60,credit_card,11.27%,CA,RENT,4791.67,665-669,5,8474,0,2 years
1,1,25000,665,60,credit_card,23.62%,TX,MORTGAGE,5000,665-669,16,25348,1,3 years
1,1,5000,665,36,debt_consolidation,4.91%,CA,RENT,7083.33,665-669,12,8225,1,5 years
1,1,10000,665,36,debt_consolidation,18.60%,NY,RENT,2500,665-669,8,9092,1,< 1 year
1,1,6000,665,36,debt_consolidation,21.36%,NV,MORTGAGE,5000,665-669,11,4363,3,10+ years
1,1,2500,665,36,major_purchase,24.07%,CA,MORTGAGE,1500,665-669,10,2684,3,1 year
1,1,30000,665,60,debt_consolidation,17.39%,FL,MORTGAGE,7083.33,665-669,21,56145,1,10+ years
1,1,8000,665,36,wedding,9.67%,TX,RENT,7758.33,665-669,6,12110,1,2 years
1,1,12000,665,36,debt_consolidation,14.62%,CT,OWN,4166.67,665-669,3,6309,0,6 years
1,1,12100,665,36,small_business,11.16%,TX,MORTGAGE,6166.67,665-669,5,2081,0,4 years
1,1,12250,665,36,debt_consolidation,17.21%,LA,OWN,2916.67,665-669,7,10523,0,7 years
1,1,10000,665,36,debt_consolidation,22.60%,AZ,RENT,2500,665-669,12,12938,2,4 years
1,1,18000,665,36,debt_consolidation,19.29%,IL,RENT,3333.33,665-669,15,26573,0,10+ years
1,1,12000,665,36,debt_consolidation,9.84%,NY,MORTGAGE,7500,665-669,11,15866,0,7 years
1,1,8575,665,36,debt_consolidation,9.84%,NY,RENT,2500,665-669,6,8807,2,7 years
1,1,27825,665,60,debt_consolidation,12.86%,CA,RENT,6250,665-669,16,27093,1,4 years
1,1,4800,665,36,credit_card,13.90%,HI,RENT,5000,665-669,8,7391,0,2 years
1,1,2500,665,36,other,11.34%,OH,MORTGAGE,5833.33,665-669,8,14122,0,8 years
1,1,5000,665,36,debt_consolidation,5.26%,AL,MORTGAGE,2416.67,665-669,5,1620,0,6 years
1,1,20000,665,60,debt_consolidation,1.63%,CA,RENT,12500,665-669,5,5407,0,5 years
1,1,16750,665,60,debt_consolidation,21.88%,HI,RENT,2833.33,665-669,12,7903,0,3 years
1,1,5000,665,36,wedding,17.29%,PA,MORTGAGE,3250,665-669,18,4656,0,3 years
1,1,17600,665,36,debt_consolidation,17.35%,PA,MORTGAGE,7500,665-669,16,14555,0,7 years
1,1,10000,665,36,debt_consolidation,10.97%,IL,RENT,7500,665-669,6,7778,0,7 years
1,1,3000,665,36,debt_consolidation,19.30%,FL,RENT,1000,665-669,12,2545,4,< 1 year
1,1,7000,665,36,debt_consolidation,18.15%,WV,RENT,4750,665-669,11,12307,1,< 1 year
1,1,10000,665,36,debt_consolidation,10.88%,CT,MORTGAGE,7500,665-669,6,24924,0,10+ years
1,1,12000,665,36,debt_consolidation,27.32%,GA,MORTGAGE,13333.33,665-669,18,62069,0,5 years
1,1,3500,665,36,major_purchase,5.36%,NC,MORTGAGE,7083,665-669,6,11616,0,10+ years
1,1,12000,665,36,debt_consolidation,25.86%,MA,OWN,3333.33,665-669,9,10310,0,n/a
1,1,15000,665,36,debt_consolidation,14.49%,CA,RENT,5000,665-669,12,10679,1,< 1 year
1,1,6625,665,36,debt_consolidation,33.43%,IL,RENT,2916.67,665-669,13,11369,0,1 year
1,1,4200,665,36,educational,15.28%,CA,RENT,6333.33,665-669,11,15578,0,1 year
1,1,12000,665,36,debt_consolidation,13.80%,TX,MORTGAGE,3333.33,665-669,10,16181,0,10+ years
1,1,6000,665,36,credit_card,32.76%,MI,OWN,1666.67,665-669,12,15055,2,< 1 year
1,1,10000,665,36,credit_card,21.84%,MI,MORTGAGE,2916.67,665-669,18,21245,0,10+ years
1,1,10000,665,36,debt_consolidation,10.40%,CA,RENT,9000,665-669,12,5141,0,10+ years
1,1,12000,665,60,debt_consolidation,16.23%,NV,RENT,3376,665-669,12,8437,1,4 years
1,1,5800,665,60,other,11.86%,CA,RENT,1416.67,665-669,3,6077,2,6 years
1,1,35000,665,60,debt_consolidation,24.22%,NY,RENT,7331.25,665-669,16,28687,2,4 years
1,1,4950,665,36,debt_consolidation,14.11%,CA,MORTGAGE,4166.67,665-669,15,8379,0,5 years
1,1,12000,665,36,credit_card,18.37%,TX,MORTGAGE,7083.33,665-669,16,16993,2,7 years
1,1,3200,665,36,credit_card,16.72%,CA,MORTGAGE,6476,665-669,14,80837,4,10+ years
1,1,5000,665,36,other,6.36%,CA,RENT,3083.33,665-669,8,4680,4,5 years
1,1,15175,665,60,debt_consolidation,18.78%,WA,RENT,4333.33,665-669,6,18049,0,8 years
1,1,8500,665,36,other,18%,MI,RENT,2583.33,665-669,9,13718,0,2 years
1,1,18000,665,60,debt_consolidation,15.82%,NY,RENT,6500,665-669,10,4256,0,10+ years
1,1,11000,665,36,other,11.44%,WI,MORTGAGE,5000,665-669,7,10070,3,10+ years
1,1,12000,665,36,debt_consolidation,15.07%,CO,MORTGAGE,4166.67,665-669,7,12318,1,< 1 year
1,1,15000,665,36,credit_card,10.67%,CA,RENT,5000,665-669,14,13611,0,4 years
1,1,8000,665,36,debt_consolidation,8.60%,FL,MORTGAGE,1833.33,665-669,7,2963,1,3 years
1,1,16000,665,60,credit_card,27.06%,TX,RENT,5416.67,665-669,18,24610,3,1 year
1,1,16000,665,36,debt_consolidation,5.64%,CA,RENT,7415.83,665-669,10,21686,3,10+ years
1,1,24000,665,60,debt_consolidation,16.73%,NC,MORTGAGE,7500,665-669,10,24126,0,7 years
1,1,14100,665,36,debt_consolidation,22.70%,AL,OWN,3000,665-669,7,12114,1,10+ years
1,1,3500,665,36,debt_consolidation,13.14%,AR,MORTGAGE,18333.33,665-669,8,11107,2,7 years
1,1,14400,665,36,credit_card,33.23%,FL,RENT,5166.67,665-669,14,11089,2,4 years
1,1,6000,665,36,credit_card,20.96%,TX,MORTGAGE,4183.33,665-669,10,7335,1,4 years
1,1,8000,665,36,debt_consolidation,9.75%,TX,RENT,5250,665-669,14,6035,1,5 years
1,1,16000,665,60,home_improvement,10.99%,IL,MORTGAGE,3466.67,665-669,8,13797,1,7 years
1,1,1000,665,36,home_improvement,24.40%,MD,OWN,3000,665-669,5,3430,1,3 years
1,1,13500,665,60,debt_consolidation,15.08%,DC,RENT,2666.67,665-669,6,13341,1,10+ years
1,1,9000,665,36,credit_card,14.36%,MI,RENT,2500,665-669,10,11540,0,< 1 year
1,1,2000,665,36,debt_consolidation,22.06%,OH,OWN,3600,665-669,10,14234,1,6 years
1,1,8000,665,60,debt_consolidation,20.16%,NY,RENT,4500,665-669,10,2786,1,5 years
1,1,1200,665,36,debt_consolidation,9.99%,FL,RENT,3833.33,665-669,10,6520,1,10+ years
1,1,24000,665,60,debt_consolidation,20.77%,VA,RENT,4583.33,665-669,13,28399,1,10+ years
1,1,9750,665,36,debt_consolidation,14.13%,MT,OWN,2518.67,665-669,7,13209,0,10+ years
1,1,5000,665,36,credit_card,9.79%,FL,OWN,1733.33,665-669,11,4366,3,< 1 year
1,1,4000,665,36,moving,22.38%,CA,RENT,4000,665-669,10,18833,2,< 1 year
1,1,20000,665,36,debt_consolidation,19.10%,FL,RENT,6000,665-669,7,21202,2,10+ years
1,1,31300,665,60,debt_consolidation,34.06%,MD,OWN,5833.33,665-669,11,25344,0,5 years
1,1,6000,665,36,moving,1.58%,MD,RENT,4416.67,665-669,3,2426,2,8 years
1,1,6200,665,36,credit_card,20.52%,CA,RENT,1940,665-669,5,16850,0,n/a
1,1,12000,665,36,credit_card,6.10%,IL,MORTGAGE,4833.33,665-669,9,12025,0,9 years
1,1,8000,665,36,debt_consolidation,6.74%,UT,MORTGAGE,4583.33,665-669,13,9085,1,10+ years
1,1,13750,665,60,medical,22.01%,FL,MORTGAGE,2916.67,665-669,7,4690,2,2 years
1,1,5000,665,36,other,5.33%,AZ,RENT,1800,665-669,2,1749,0,< 1 year
1,1,24575,665,36,credit_card,19.28%,CO,MORTGAGE,5166.67,665-669,8,23157,0,10+ years
1,1,18000,665,36,debt_consolidation,20.18%,WA,RENT,6916.67,665-669,15,23786,0,10+ years
1,1,12000,665,60,debt_consolidation,12.94%,OH,MORTGAGE,2866.5,665-669,5,9626,1,10+ years
1,1,6000,665,36,home_improvement,12.98%,WY,MORTGAGE,10000,665-669,9,8230,0,5 years
1,1,10000,665,36,small_business,13.37%,OR,MORTGAGE,11250,665-669,13,16740,2,10+ years
1,1,3625,665,36,debt_consolidation,11.32%,FL,MORTGAGE,3895,665-669,9,12251,0,10+ years
1,1,13200,665,36,credit_card,9.07%,CA,MORTGAGE,5083.33,665-669,5,10771,0,10+ years
1,1,8000,665,36,other,12.20%,MI,RENT,1750,665-669,9,5828,0,4 years
1,1,16000,665,36,credit_card,20.30%,TX,MORTGAGE,6250,665-669,18,30772,5,1 year
1,1,20000,665,60,debt_consolidation,20.91%,AK,OWN,4916.67,665-669,16,32137,2,10+ years
1,1,9800,665,60,debt_consolidation,14.89%,RI,MORTGAGE,5340.25,665-669,8,5350,1,2 years
1,1,12000,665,36,debt_consolidation,24.48%,MI,OWN,3333.33,665-669,12,16984,0,10+ years
1,1,4000,665,36,renewable_energy,22.74%,MD,RENT,1666.67,665-669,7,278,0,3 years
1,1,3000,665,36,moving,10.05%,MA,RENT,9166.67,665-669,15,22698,2,6 years
1,1,10000,665,36,other,27.53%,MN,MORTGAGE,2916.67,665-669,14,11506,0,10+ years
1,1,1600,665,36,major_purchase,14.15%,FL,RENT,2000,665-669,5,9603,1,< 1 year
1,1,3600,665,36,debt_consolidation,24.90%,NY,OWN,3666.67,665-669,16,11927,3,10+ years
1,1,2875,665,36,credit_card,14.11%,AZ,RENT,1084,665-669,3,3824,0,n/a
1,1,5500,665,36,other,20.38%,SC,MORTGAGE,5116.67,665-669,11,14103,0,1 year
1,1,15000,665,36,debt_consolidation,22.45%,NV,MORTGAGE,5078.75,665-669,19,13205,0,10+ years
1,1,3600,665,36,moving,10.72%,TX,RENT,7000,665-669,7,6263,4,6 years
