,Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length,FICO.Score
16667,3000,3000.0,0.1744,36,other,15.79%,MD,RENT,7952.0,660-664,4.0,12578.0,0.0,8 years,660
92046,32000,32000.0,0.1727,60,debt_consolidation,15.61%,IL,RENT,9250.0,700-704,15.0,32566.0,1.0,2 years,700
88279,22250,22250.0,0.21489999999999998,60,debt_consolidation,28.87%,HI,RENT,4166.67,665-669,15.0,14107.0,0.0,9 years,665
17218,7325,7300.0,0.17800000000000002,60,debt_consolidation,20.37%,NY,OWN,3000.0,680-684,6.0,13583.0,0.0,5 years,680
82406,16450,16450.0,0.1114,36,debt_consolidation,7.57%,NC,RENT,7500.0,725-729,5.0,2928.0,0.0,1 year,725
17143,2500,2500.0,0.1298,36,debt_consolidation,16.45%,WI,RENT,1100.0,670-674,6.0,5019.0,1.0,4 years,670
27486,6000,6000.0,0.0999,36,other,7.50%,FL,MORTGAGE,2625.0,715-719,4.0,5167.0,0.0,10+ years,715
96613,27575,27575.0,0.1433,36,debt_consolidation,19.63%,CA,MORTGAGE,5166.67,690-694,6.0,8720.0,0.0,10+ years,690
6263,1000,1000.0,0.0859,36,educational,10.69%,NY,OWN,4583.33,755-759,22.0,17069.0,1.0,< 1 year,755
29283,12000,12000.0,0.1149,36,debt_consolidation,12.85%,IL,RENT,2708.33,705-709,8.0,12150.0,1.0,< 1 year,705
99766,30000,30000.0,0.1016,36,debt_consolidation,22.21%,SD,MORTGAGE,8000.0,715-719,14.0,33218.0,0.0,10+ years,715
85893,13500,13500.0,0.1433,36,debt_consolidation,31.70%,WV,RENT,4166.67,680-684,11.0,31168.0,0.0,1 year,680
98972,9000,9000.0,0.158,36,debt_consolidation,22.65%,OH,MORTGAGE,3250.0,665-669,9.0,16480.0,0.0,3 years,665
44054,15000,15000.0,0.09910000000000001,36,debt_consolidation,9.16%,AK,MORTGAGE,4250.0,730-734,11.0,11615.0,1.0,10+ years,730
51948,5300,5300.0,0.079,36,medical,12.82%,CA,RENT,5500.0,725-729,8.0,9996.0,2.0,1 year,725
48676,7000,7000.0,0.1311,36,debt_consolidation,16.76%,NJ,RENT,3650.0,685-689,12.0,6444.0,1.0,5 years,685
82294,20000,19975.0,0.1629,36,debt_consolidation,11.85%,CA,RENT,9166.67,685-689,10.0,12421.0,3.0,< 1 year,685
20328,15000,14993.57,0.1825,60,debt_consolidation,13.65%,CA,RENT,2916.67,705-709,4.0,12786.0,0.0,< 1 year,705
71489,8000,8000.0,0.1409,36,home_improvement,12.06%,HI,RENT,5000.0,695-699,10.0,15360.0,1.0,6 years,695
43203,24000,23947.48,0.19030000000000002,60,debt_consolidation,3.63%,CA,RENT,7500.0,695-699,6.0,8568.0,1.0,10+ years,695
48319,7500,7500.0,0.08900000000000001,36,debt_consolidation,10.02%,DE,RENT,5500.0,715-719,9.0,2382.0,0.0,6 years,715
5367,17000,16875.0,0.1183,36,debt_consolidation,12.70%,GA,RENT,4583.33,735-739,5.0,3644.0,1.0,6 years,735
83768,12000,12000.0,0.1727,36,credit_card,14.86%,NJ,OWN,4583.33,665-669,12.0,9145.0,1.0,10+ years,665
88084,6000,6000.0,0.1531,36,other,15.91%,MN,RENT,3833.33,670-674,11.0,5760.0,1.0,10+ years,670
101540,6725,825.0,0.13119999999999998,36,debt_consolidation,13.16%,MO,MORTGAGE,5000.0,670-674,10.0,5513.0,9.0,10+ years,670
9664,4500,4500.0,0.0676,36,debt_consolidation,14.74%,WV,MORTGAGE,2666.67,790-794,7.0,2705.0,0.0,7 years,790
1494,1600,1600.0,0.10830000000000001,36,other,5.36%,RI,RENT,2427.0,700-704,5.0,7020.0,0.0,3 years,700
61703,10000,10000.0,0.1777,36,wedding,30.40%,NY,OWN,2500.0,665-669,5.0,8379.0,0.0,8 years,665
61576,18550,18525.0,0.079,36,debt_consolidation,16.93%,GA,MORTGAGE,5416.67,725-729,10.0,28877.0,0.0,3 years,725
21993,7450,7450.0,0.1306,36,debt_consolidation,3.30%,WA,MORTGAGE,5883.33,710-714,2.0,6416.0,1.0,10+ years,710
58359,3225,3225.0,0.0762,36,debt_consolidation,17.79%,CA,MORTGAGE,5833.33,760-764,5.0,70323.0,1.0,10+ years,760
67335,23675,23675.0,0.1777,36,credit_card,29.94%,PA,OWN,6399.0,680-684,21.0,21920.0,0.0,10+ years,680
57080,12000,12000.0,0.12119999999999999,36,debt_consolidation,18.62%,VA,RENT,5833.33,690-694,16.0,18838.0,0.0,10+ years,690
30035,25000,25000.0,0.1649,36,debt_consolidation,18.18%,MA,RENT,6000.0,695-699,9.0,10630.0,2.0,7 years,695
103948,16000,15850.0,0.1112,36,credit_card,17.86%,CA,MORTGAGE,6666.67,725-729,7.0,18659.0,4.0,5 years,725
96659,4200,4175.0,0.08900000000000001,36,car,10.16%,NC,MORTGAGE,3041.67,810-814,4.0,1548.0,0.0,10+ years,810
67158,10000,10000.0,0.1409,36,debt_consolidation,21.45%,CO,RENT,4583.33,675-679,11.0,8548.0,0.0,6 years,675
33777,6000,6000.0,0.0751,36,home_improvement,2.52%,NJ,MORTGAGE,4800.0,750-754,4.0,1442.0,0.0,10+ years,750
59724,6000,6000.0,0.1311,36,debt_consolidation,15.33%,KS,RENT,3333.33,685-689,7.0,12503.0,2.0,2 years,685
95096,7925,7925.0,0.1629,36,debt_consolidation,21.25%,GA,RENT,2000.0,665-669,6.0,7840.0,0.0,6 years,665
67629,16000,15925.0,0.0762,36,debt_consolidation,6.48%,IL,MORTGAGE,6000.0,765-769,8.0,19539.0,0.0,n/a,765
51929,9525,9500.0,0.15810000000000002,36,small_business,11.35%,CA,RENT,2666.67,670-674,15.0,5610.0,1.0,n/a,670
13216,6000,6000.0,0.1435,36,debt_consolidation,14.08%,IL,MORTGAGE,2500.0,675-679,9.0,3621.0,3.0,< 1 year,675
103405,10000,9975.0,0.1496,36,debt_consolidation,11.50%,FL,MORTGAGE,5250.0,675-679,4.0,3035.0,5.0,2 years,675
53271,7000,7000.0,0.0662,36,major_purchase,8.03%,NM,MORTGAGE,10000.0,750-754,9.0,6761.0,1.0,6 years,750
25380,4500,4500.0,0.0599,36,debt_consolidation,18.48%,CA,MORTGAGE,10000.0,765-769,18.0,17863.0,3.0,6 years,765
6987,12000,12000.0,0.1114,36,debt_consolidation,2.37%,MD,MORTGAGE,12500.0,735-739,13.0,10944.0,0.0,5 years,735
96413,10375,10375.0,0.1972,36,debt_consolidation,4.99%,CT,RENT,4166.67,665-669,9.0,6122.0,1.0,5 years,665
88273,4800,4800.0,0.1875,36,other,10.89%,NM,MORTGAGE,5833.33,670-674,8.0,17943.0,0.0,10+ years,670
48519,6400,6400.0,0.1311,36,credit_card,11.46%,LA,MORTGAGE,4666.67,700-704,7.0,8942.0,1.0,10+ years,700
69456,5000,5000.0,0.079,36,debt_consolidation,17.22%,CA,OWN,4000.0,705-709,10.0,6023.0,0.0,10+ years,705
41198,12000,12000.0,0.0662,36,credit_card,21.66%,NC,RENT,5250.0,740-744,11.0,20639.0,0.0,< 1 year,740
44282,23850,23820.25,0.2148,60,other,18.75%,NY,MORTGAGE,4250.0,690-694,23.0,37251.0,0.0,4 years,690
34122,15000,15000.0,0.1065,36,small_business,16.15%,OH,MORTGAGE,7083.33,720-724,14.0,338.0,2.0,9 years,720
84563,8000,8000.0,0.0762,36,other,0%,NC,MORTGAGE,3500.0,765-769,7.0,0.0,1.0,n/a,765
98634,20000,20000.0,0.0603,36,credit_card,18.67%,FL,MORTGAGE,14583.33,715-719,9.0,29044.0,0.0,7 years,715
73526,20000,19975.0,0.1311,36,debt_consolidation,15.09%,NC,RENT,8233.33,710-714,17.0,29756.0,2.0,< 1 year,710
82476,10000,10000.0,0.1409,36,debt_consolidation,10.59%,CA,RENT,2916.67,690-694,9.0,10390.0,3.0,< 1 year,690
67263,18825,18825.0,0.1409,36,credit_card,13.08%,MI,RENT,4000.0,710-714,6.0,20694.0,1.0,4 years,710
41267,35000,34975.0,0.079,36,small_business,1.59%,IL,RENT,18333.33,775-779,10.0,1992.0,0.0,1 year,775
64884,9000,9000.0,0.0603,36,vacation,5.58%,NJ,MORTGAGE,9583.33,815-819,11.0,675.0,0.0,n/a,815
18452,4000,4000.0,0.0617,36,home_improvement,15%,CT,RENT,4234.0,745-749,5.0,587.0,1.0,2 years,745
57866,5750,5750.0,0.1399,36,credit_card,12.44%,CA,RENT,5000.0,660-664,13.0,12465.0,0.0,10+ years,660
77151,20950,20950.0,0.158,36,debt_consolidation,15.71%,MA,MORTGAGE,12916.67,690-694,8.0,30188.0,1.0,4 years,690
25405,8000,8000.0,0.1099,36,credit_card,14.76%,NY,RENT,7500.0,710-714,9.0,7120.0,2.0,< 1 year,710
85644,10000,10000.0,0.1016,36,debt_consolidation,9.30%,TX,MORTGAGE,3333.33,725-729,8.0,8940.0,2.0,n/a,725
85686,10000,10000.0,0.1409,36,small_business,14.76%,NY,RENT,5000.0,675-679,7.0,4762.0,0.0,4 years,675
54649,14000,14000.0,0.0603,36,credit_card,19.53%,CT,MORTGAGE,6000.0,765-769,13.0,4140.0,0.0,8 years,765
19069,5000,5000.0,0.0766,36,credit_card,3.33%,RI,RENT,9000.0,735-739,3.0,12297.0,0.0,10+ years,735
74479,25000,25000.0,0.1905,60,debt_consolidation,10.53%,IL,MORTGAGE,6250.0,700-704,8.0,15159.0,1.0,9 years,700
76693,35000,35000.0,0.08900000000000001,36,debt_consolidation,14.62%,CA,RENT,10416.67,735-739,9.0,21321.0,0.0,10+ years,735
63266,7200,7175.0,0.1114,36,debt_consolidation,27.89%,OK,MORTGAGE,3750.0,690-694,8.0,20342.0,0.0,10+ years,690
32008,14000,14000.0,0.0849,60,debt_consolidation,9.89%,CA,MORTGAGE,9000.0,760-764,17.0,23773.0,0.0,4 years,760
13996,15000,14975.0,0.1521,36,debt_consolidation,19.10%,TX,RENT,5132.0,680-684,4.0,34044.0,1.0,3 years,680
80638,25000,25000.0,0.1972,60,debt_consolidation,32.10%,NY,OWN,4916.67,695-699,21.0,35208.0,1.0,7 years,695
36889,10800,10800.0,0.1465,36,debt_consolidation,7.89%,CA,RENT,9583.33,675-679,6.0,6487.0,1.0,< 1 year,675
72169,20000,20000.0,0.1433,36,credit_card,21.44%,GA,MORTGAGE,6250.0,700-704,9.0,14268.0,1.0,9 years,700
19548,4000,4000.0,0.1074,36,debt_consolidation,1.97%,KS,RENT,2900.0,695-699,13.0,1869.0,1.0,n/a,695
103357,16000,15950.0,0.157,36,debt_consolidation,23.51%,OH,MORTGAGE,9333.33,675-679,20.0,12721.0,5.0,10+ years,675
59117,1400,1400.0,0.09759999999999999,36,vacation,27.14%,NV,MORTGAGE,4683.33,730-734,6.0,6466.0,0.0,2 years,730
15427,7500,7500.0,0.1632,36,debt_consolidation,12.54%,CA,MORTGAGE,4600.0,665-669,3.0,6120.0,0.0,2 years,665
224,24625,917.28,0.1407,36,credit_card,12.81%,NY,MORTGAGE,10000.0,675-679,14.0,33698.0,0.0,8 years,675
85618,5000,5000.0,0.1409,36,debt_consolidation,29.02%,FL,MORTGAGE,5416.67,680-684,11.0,3977.0,1.0,< 1 year,680
43436,25000,24975.0,0.09910000000000001,36,debt_consolidation,20.49%,NY,RENT,7916.67,725-729,14.0,27203.0,0.0,1 year,725
19328,7500,7500.0,0.16399999999999998,36,debt_consolidation,13.34%,CA,RENT,4166.67,660-664,8.0,7430.0,0.0,< 1 year,660
65134,34500,34450.0,0.0662,36,small_business,16.46%,CA,MORTGAGE,10000.0,805-809,8.0,5317.0,0.0,9 years,805
20263,10000,10000.0,0.0579,36,debt_consolidation,6.49%,GA,MORTGAGE,12500.0,745-749,17.0,75629.0,0.0,1 year,745
9194,3200,3200.0,0.09880000000000001,36,debt_consolidation,6.51%,MA,RENT,4500.0,740-744,7.0,3198.0,0.0,5 years,740
27520,5500,5500.0,0.15990000000000001,60,debt_consolidation,17.95%,RI,RENT,4250.0,700-704,16.0,13256.0,0.0,10+ years,700
45941,3000,3000.0,0.09759999999999999,36,debt_consolidation,21.82%,VA,OWN,1100.0,720-724,4.0,2413.0,0.0,n/a,720
69242,18000,18000.0,0.2328,60,debt_consolidation,9.05%,WI,RENT,7083.33,660-664,6.0,13106.0,0.0,10+ years,660
2633,10000,9700.0,0.09630000000000001,36,debt_consolidation,13.77%,OK,MORTGAGE,4190.0,735-739,6.0,1251.0,1.0,< 1 year,735
48662,8800,8800.0,0.1311,36,credit_card,16.73%,WI,RENT,3150.25,700-704,13.0,14266.0,1.0,4 years,700
65775,7000,7000.0,0.1114,36,debt_consolidation,23.02%,TX,MORTGAGE,6000.0,705-709,17.0,19634.0,2.0,6 years,705
92773,8000,8000.0,0.1311,36,debt_consolidation,19.01%,AK,RENT,2625.0,725-729,8.0,7554.0,1.0,5 years,725
33161,3000,3000.0,0.1727,36,credit_card,16.62%,SC,RENT,3833.33,660-664,4.0,4136.0,0.0,n/a,660
37985,12000,11975.0,0.0751,36,debt_consolidation,11.91%,MD,RENT,7500.0,735-739,18.0,33702.0,1.0,10+ years,735
2791,3600,3575.0,0.1411,36,small_business,0.04%,WI,RENT,2500.0,725-729,4.0,1.0,0.0,3 years,725
81950,11625,11625.0,0.1433,36,debt_consolidation,22.84%,NY,MORTGAGE,2833.33,705-709,6.0,27411.0,2.0,8 years,705
84215,30000,30000.0,0.21489999999999998,36,credit_card,16.70%,MD,MORTGAGE,12500.0,670-674,14.0,19096.0,2.0,9 years,670
93352,16000,16000.0,0.08900000000000001,36,debt_consolidation,19.71%,CO,RENT,7083.33,720-724,11.0,6185.0,1.0,4 years,720
10474,10800,10700.0,0.1075,36,major_purchase,15.32%,FL,MORTGAGE,8400.0,715-719,6.0,24675.0,0.0,10+ years,715
15717,25000,23655.48,0.16690000000000002,60,debt_consolidation,14.11%,CO,MORTGAGE,7666.67,705-709,15.0,28748.0,3.0,8 years,705
103874,10000,10000.0,0.1398,60,other,14.86%,MO,RENT,3916.67,710-714,9.0,5188.0,4.0,4 years,710
132,12375,275.0,0.1091,36,small_business,16.39%,VA,MORTGAGE,3892.75,690-694,11.0,8332.0,2.0,3 years,690
5169,6000,6000.0,0.1148,36,credit_card,18.20%,NY,MORTGAGE,5031.67,705-709,9.0,50935.0,0.0,10+ years,705
29812,8000,8000.0,0.1349,36,debt_consolidation,14.92%,CO,RENT,5000.0,685-689,18.0,4786.0,1.0,2 years,685
56991,15000,15000.0,0.1825,36,credit_card,9.73%,GA,MORTGAGE,5000.0,660-664,11.0,14596.0,0.0,8 years,660
62537,7000,7000.0,0.1777,36,other,32.25%,NY,RENT,3333.33,665-669,12.0,35604.0,3.0,7 years,665
22858,8400,8400.0,0.0692,36,renewable_energy,13.30%,MD,RENT,3000.0,745-749,9.0,6998.0,1.0,1 year,745
78602,15000,15000.0,0.079,36,debt_consolidation,18.62%,PA,MORTGAGE,4500.0,740-744,10.0,17212.0,0.0,7 years,740
93778,15000,14925.0,0.1433,36,debt_consolidation,13.30%,TX,RENT,5000.0,665-669,7.0,11368.0,1.0,< 1 year,665
87504,2800,2800.0,0.1016,36,major_purchase,12%,NY,RENT,2083.33,695-699,7.0,7261.0,0.0,< 1 year,695
92105,7750,7750.0,0.1629,36,debt_consolidation,26.74%,FL,MORTGAGE,2916.67,680-684,18.0,17102.0,0.0,5 years,680
59387,4500,4500.0,0.08900000000000001,36,credit_card,18.18%,UT,RENT,2166.67,700-704,8.0,5361.0,0.0,4 years,700
6067,17500,17375.0,0.1253,36,debt_consolidation,21.63%,CO,RENT,3666.67,715-719,7.0,20010.0,0.0,6 years,715
62445,18000,18000.0,0.1531,60,debt_consolidation,4.93%,CA,RENT,5258.5,710-714,6.0,11596.0,0.0,10+ years,710
35834,15000,14975.0,0.1527,60,debt_consolidation,17.90%,PA,MORTGAGE,2748.0,720-724,14.0,7956.0,1.0,6 years,720
24320,6000,6000.0,0.1523,36,credit_card,19.57%,KS,OWN,4583.33,665-669,13.0,8077.0,1.0,1 year,665
68821,11500,11475.0,0.1114,36,credit_card,28.25%,CA,RENT,2750.0,700-704,6.0,9079.0,0.0,5 years,700
96988,10000,10000.0,0.1311,36,credit_card,7.56%,PA,RENT,2500.0,685-689,8.0,10906.0,0.0,7 years,685
47002,12000,12000.0,0.08900000000000001,36,credit_card,12.46%,MD,RENT,5000.0,725-729,5.0,13940.0,0.0,10+ years,725
53897,10000,10000.0,0.12119999999999999,36,debt_consolidation,18.40%,CA,MORTGAGE,5000.0,685-689,7.0,13202.0,0.0,10+ years,685
40136,35000,34975.0,0.21280000000000002,60,debt_consolidation,18.21%,AL,RENT,7916.67,680-684,8.0,19789.0,2.0,10+ years,680
14952,7200,7100.0,0.1038,60,major_purchase,17.97%,PA,RENT,3000.0,750-754,7.0,2753.0,1.0,2 years,750
40856,4000,3975.0,0.079,60,car,4.48%,TX,OWN,4000.0,800-804,16.0,6696.0,0.0,< 1 year,800
4938,5300,5200.0,0.1114,36,debt_consolidation,8.47%,UT,MORTGAGE,8333.33,740-744,5.0,73258.0,1.0,3 years,740
59272,1200,1200.0,0.0762,36,other,8.69%,NY,MORTGAGE,3833.33,730-734,14.0,350.0,1.0,7 years,730
80512,2500,2500.0,0.1114,36,major_purchase,10.08%,CA,RENT,4333.33,720-724,4.0,4922.0,0.0,3 years,720
82071,17000,16975.0,0.1433,36,debt_consolidation,26.35%,MN,OWN,7500.0,700-704,21.0,39130.0,3.0,10+ years,700
90748,16000,16000.0,0.079,36,credit_card,12.30%,CA,MORTGAGE,8416.67,695-699,14.0,21913.0,1.0,5 years,695
42319,10000,9950.0,0.12689999999999999,36,debt_consolidation,3.80%,CA,MORTGAGE,6666.67,695-699,8.0,7967.0,1.0,3 years,695
81914,5000,5000.0,0.1016,36,debt_consolidation,24.50%,AL,MORTGAGE,6250.0,700-704,9.0,33705.0,0.0,6 years,700
97954,4375,4375.0,0.1905,36,credit_card,9.09%,CA,RENT,2916.67,670-674,9.0,6944.0,2.0,6 years,670
41074,8500,8475.0,0.0603,36,home_improvement,12.33%,MO,MORTGAGE,6100.0,745-749,17.0,6370.0,0.0,10+ years,745
30600,12000,12000.0,0.1689,60,small_business,15.24%,OH,MORTGAGE,7500.0,675-679,14.0,28589.0,2.0,3 years,675
4909,6200,6100.0,0.0859,36,other,19.10%,WI,RENT,5000.0,740-744,17.0,9367.0,0.0,1 year,740
63340,7000,7000.0,0.18489999999999998,36,debt_consolidation,18.90%,AR,MORTGAGE,2000.0,660-664,10.0,7315.0,2.0,1 year,660
35313,20800,20800.0,0.12689999999999999,60,debt_consolidation,7.08%,GA,MORTGAGE,6541.67,730-734,9.0,13197.0,0.0,1 year,730
45225,19200,19200.0,0.1311,60,other,3.45%,IL,MORTGAGE,8333.33,745-749,14.0,50625.0,3.0,2 years,745
98090,22000,22000.0,0.158,60,debt_consolidation,21.32%,KY,MORTGAGE,5416.67,700-704,9.0,10267.0,1.0,10+ years,700
71142,15000,15000.0,0.1905,36,debt_consolidation,24.88%,AZ,RENT,6000.0,675-679,12.0,12162.0,0.0,1 year,675
5282,7000,6965.1,0.19469999999999998,36,debt_consolidation,17.08%,NJ,RENT,5000.0,665-669,11.0,13859.0,0.0,3 years,665
52333,20000,20000.0,0.08900000000000001,36,credit_card,17.08%,CO,RENT,4916.67,730-734,10.0,14952.0,2.0,4 years,730
15274,2000,2000.0,0.0617,36,moving,18.35%,WA,RENT,5733.58,745-749,9.0,21998.0,0.0,3 years,745
32037,18000,17738.58,0.1059,60,major_purchase,15.03%,OH,MORTGAGE,4000.0,755-759,9.0,6718.0,0.0,10+ years,755
6528,20800,20775.0,0.1148,36,home_improvement,21.77%,CA,OWN,11666.67,790-794,6.0,682.0,1.0,10+ years,790
10487,9000,8875.0,0.0788,36,debt_consolidation,14.51%,MA,MORTGAGE,5708.33,725-729,9.0,12217.0,0.0,7 years,725
64690,6000,6000.0,0.1409,36,credit_card,22.50%,UT,RENT,2666.67,670-674,18.0,5955.0,0.0,10+ years,670
66605,5000,5000.0,0.158,36,debt_consolidation,34.20%,CA,RENT,3750.0,665-669,18.0,5414.0,3.0,3 years,665
18512,12000,11975.0,0.1483,60,credit_card,22.31%,CA,RENT,4186.0,685-689,9.0,9398.0,0.0,3 years,685
1173,7000,1998.0,0.08,36,credit_card,6.36%,AZ,MORTGAGE,7583.33,750-754,9.0,21135.0,0.0,10+ years,750
